Campus Name,latitude,longitude,UTM_Easting,UTM_Northing
Spring Valley Elementary / Early Education,37.794006,-122.418816,551169.0243303868,4183119.0009593973
Mission Neighborhood Centers - 24Th St Head Start,37.752457,-122.412224,551778.3753442898,4178512.7983116247
Yick Wo Elementary School,37.80196,-122.416611,551357.6529449709,4184002.704044936
Russian Hill School,37.788521,-122.440193,549290.5632866235,4182498.9583277097
San Francisco Public Montessori,37.792866,-122.433601,549868.0680640812,4182984.529336151
Hergl School,37.800377,-122.42572,550556.8299262162,4183822.104922465
Friends Of Saint Francis Child Care Center,37.768589,-122.430344,550171.2369842242,4180292.7550264806
"Chin, John Yehall Chin Elementary School",37.798611,-122.403221,552538.8014556682,4183638.574463308
Valdivia Family Day Care,37.752579,-122.406807,552255.4883078518,4178529.345213754
Cornerstone Academy,37.724953,-122.416847,551390.1326062175,4175458.7201611395
Sanchez Elementary School  / Preschool,37.763454,-122.430359,550173.3850009622,4179723.0236551194
Nihonmachi Little Friends - Sutter St,37.786717,-122.430557,550140.2313574946,4182303.928950026
Stuart Hall For Boys,37.794617,-122.434288,549806.4057739197,4183178.435766517
Bais Menachem Yeshiva Day School,37.773613,-122.487152,545164.9019188148,4180821.2132627326
Little Angels Daycare,37.726673,-122.466423,547020.1457919509,4175623.49888452
Amici World School,37.803875,-122.445717,548794.0754886119,4184199.5797872017
"Burton, Phillip And Sala Burton High School",37.721546,-122.406555,552299.5148643759,4175086.417484538
City College of San Francisco Civic Center,37.779545,-122.414299,551576.7666045828,4181517.041965018
"Washington, George Washington High School",37.777905,-122.491013,544822.2821817886,4181295.54879197
Big City Montessori School,37.738655,-122.405312,552397.0027983616,4176985.3302244805
Buena Vista / Horace Mann,37.753033,-122.420181,551077.025075258,4178572.3318994967
Alta Plaza Preschool,37.790203,-122.437195,549553.4136568287,4182687.159946005
Glenridge Cooperative Nursery School,37.736191,-122.440033,549339.4012143527,4176693.0853849985
Guadalupe Elementary School,37.710182,-122.434029,549885.866647643,4173810.614482911
Telegraph Hill Neighborhood Center Child Development Preschool,37.803444,-122.412537,551715.2689183817,4184169.5997783532
"Cobb, Dr. William L. Cobb Elementary School / Preschool",37.787678,-122.439552,549347.5638878108,4182405.766077266
Alamo Elementary School,37.783005,-122.4823,545586.4370529347,4181865.6005215026
Pacific Primary - Yellow Sun School,37.775658,-122.441734,549163.3979646866,4181071.0064178924
"Stockton, Commodore Stockton Early Education School",37.795082,-122.40908,552025.4613295582,4183243.7561344528
Kai Ming Head Start - Sunset Center,37.742394,-122.496277,544379.9335844549,4177353.142275526
Kai Ming Head Start - Tkl Center (Dr T Kong Lee),37.79372,-122.409294,552007.5750773546,4183092.523608603
Glen Park Elementary School,37.733131,-122.435623,549730.0217914261,4176355.9166731057
Economic Opportunity Council Sf - Sojourner Truth Childcare,37.735832,-122.381874,554464.1753459075,4176685.500003066
"Stevenson, Robert Louis Stevenson Elementary School",37.748844,-122.49276,544685.9185157755,4178070.432660304
Bright Horizons - Kansas St,37.766731,-122.404213,552474.0024419511,4180100.947906322
"Taylor, E. R. Taylor Elementary School / Preschool",37.727329,-122.40731,552228.9159614668,4175727.6105630146
Second Community Child Care Center,37.753712,-122.456131,547909.6791842388,4178628.651861958
"Ortega, Jose Ortega Elementary School",37.716782,-122.466675,547004.1886185174,4174525.9852867513
Redding Elementary / Early Education,37.78952,-122.41925,551133.9050384595,4182621.043711479
Scandanavian School,37.746582,-122.457878,547760.3664953038,4177836.695241376
Wind In The Willows Early Learning Center,37.731258,-122.451462,548335.5765045726,4176139.814964135
Telegraph Hill Parent Participation Nursery School,37.795681,-122.410377,551910.8513871207,4183309.4940193025
Rocky Mountain Participation Nursery School,37.74184,-122.471603,546554.1701063946,4177303.662412395
Moldovan Academy,37.748898,-122.42968,550243.0344254763,4178108.416405259
Ucsf - Parnassus-Kirkham Child Development Center,37.761524,-122.461166,547461.1490568289,4179492.8174840845
Saint Nicholas Day Care And Preschool,37.744923,-122.440422,549299.334032813,4177661.6828779443
International Studies Academy,37.761704,-122.400688,552788.0429611309,4179545.1896389467
Everett Middle School,37.763577,-122.429367,550260.6768182222,4179737.2028527693
My Little Learning Tree,37.782394,-122.482086,545605.6565398285,4181797.9149553655
San Francisco Waldorf High School,37.736015,-122.471199,546593.4154597099,4176657.589328743
Family School,37.747994,-122.418137,551260.5613982237,4178014.378480267
Mission Neighborhood Centers - Edificio De Mujeres / Womens Building,37.761421,-122.422615,550856.8662547405,4179501.645636441
Adda Clevenger School,37.753738,-122.424461,550699.5098971096,4178648.223300626
Faces Sf Child Development Program - Hayes Valley,37.772907,-122.428032,550371.933754577,4180773.0759441867
Walden Academy,37.772942,-122.426147,550537.9190334865,4180777.9759772024
San Francisco Expeditionary School,37.793186,-122.445892,548785.6995109009,4183013.548442686
Little Childrens Developmental Center,37.781956,-122.431045,550100.4758514395,4181775.437385694
Montessori Childrens Center,37.718266,-122.480911,545748.5882848778,4174683.5824060175
"Carmichael, Bessie Carmichael K-5 Campus / Early Education",37.776382,-122.406456,552269.6536680382,4181170.4634418036
Holy Family Day Home,37.764992,-122.425796,550574.2453366346,4179896.1201921664
Saint Gabriel Catholic School,37.739563,-122.498634,544173.9538422697,4177037.9328108747
"Lincoln, Abraham Lincoln High School",37.746594,-122.48024,545790.2769237556,4177826.8504622006
Love And Learn Nursery School,37.77335,-122.414795,551537.3891338714,4180829.4375454932
"Havard, Leola M. Havard Early Education School",37.734085,-122.388588,553873.853111061,4176487.787660398
City College of San Francisco Fort Mason Site,37.80677,-122.431824,550015.1473115269,4184528.122805949
Chinatown Community Childrens Center,37.79361,-122.409103,552024.4685911927,4183080.425413135
Balboa Preschool,37.776932,-122.464477,547159.7234382188,4181200.644304122
Marina Childrens Center,37.800774,-122.431488,550048.7710473895,4183863.0480128154
"Rodriguez, Zaida T. Rodriguez Early Education School",37.749821,-122.418556,551222.3889287782,4178216.8524846067
Kai Ming Head Start - Geary Center,37.77972,-122.486191,545245.8124461671,4181499.2431709063
"King, Dr. Martin Luther King Jr. Middle School",37.727741,-122.405807,552361.0741617228,4175774.1607837486
San Francisco Christian School,37.710037,-122.447754,548676.2016672534,4173787.3059578086
Cross Cultural Family Center - Bertha E Flemming Center,37.782711,-122.436233,549643.127362807,4181856.4373659138
Little Bear School,37.723179,-122.438095,549518.8263782837,4175250.448992188
Everyday Magic Child Development Center,37.730572,-122.485817,545308.7103081465,4176046.523311204
Alta Vista School,37.726391,-122.407196,552239.6208199386,4175623.604537711
Golden Bridges School,37.755467,-122.42231,550887.8098687069,4178841.2214891524
Creative Arts Charter School,37.779804,-122.436073,549659.1613460849,4181533.992705166
Laurel Hill Nursery School,37.783798,-122.452728,548189.9247859858,4181968.410789828
Phoebe A Hearst Learning Center,37.782681,-122.427948,550372.6986333173,4181857.5393780423
Marin Day School - Market Street,37.777226,-122.417358,551308.9919375073,4181258.0678233816
Treasure Island Child Development Center,37.825985,-122.372505,555222.5878943505,4186693.432815563
Saint Anthony - Immaculate Conception School,37.747536,-122.414223,551605.6953257022,4177965.7149603292
Starlight Christian Preschool 2,37.738022,-122.500977,543968.4287892408,4176865.858514398
"Webster, Daniel Webster Elementary School",37.762009,-122.400772,552780.4273471696,4179578.981726126
Oakes Childrens Center,37.74593,-122.412697,551741.2519784902,4177788.3737883056
Sunset Cooperative Nursery School,37.756386,-122.508499,543294.9686929327,4178899.807283837
Laurel School,37.781941,-122.467331,546905.2247038956,4181754.953184142
Wu Yee Child Development Center - Westside,37.784466,-122.442268,549110.5431833009,4182047.9668198656
De Marillac Academy,37.781658,-122.413345,551659.3058454685,4181752.0046009463
San Francisco Waldorf School,37.790783,-122.44191,549137.8836083311,4182749.0221901825
Ecole Notre Dame Des Victoires,37.791115,-122.406464,552258.574050875,4182805.077818618
Grattan Elementary / Early Education,37.763493,-122.450424,548406.0413783352,4179716.7793813995
"Hoover, Herbert Hoover Middle School",37.745556,-122.468964,546784.3405152621,4177717.262653681
Chibi Chan Preschool,37.788784,-122.429291,550250.3055689123,4182533.9410830094
Presidio Hill School,37.788582,-122.456062,547893.2603061707,4182497.4793430637
Hearing & Speech Center Of Northern California,37.781174,-122.438728,549424.449085906,4181684.5867302627
Starlight Christian Preschool 1,37.775311,-122.484924,545360.0787169287,4181010.682744423
Mission Neighborhood Centers - Valencia Gardens,37.767098,-122.423202,550801.2787217567,4180131.1844361657
Lakeshore Elementary School,37.730324,-122.48542,545343.8445671429,4176019.2003745893
Life Learning Academy Charter School,37.825512,-122.367996,555619.760686387,4186643.62810903
German International School Of Silicon Valley - San Francisco Campus,37.800007,-122.455566,547929.5513051697,4183765.3309866968
Marina Middle School,37.801827,-122.435478,549696.8042544364,4183977.749211216
San Francisco Schoolhouse (Congregation Beth Shalom),37.782391,-122.473167,546391.0392191509,4181801.969166541
San Francisco City Academy,37.783505,-122.412201,551758.7563191598,4181957.5607884796
Saint Brendan School,37.742855,-122.455925,547934.8287274728,4177424.1885320316
Saint Finn Barr Catholic School,37.730446,-122.447411,548693.0733899748,4176051.824105797
Wu Yee Child Development Center - Lok Yuen,37.794365,-122.407791,552139.451704324,4183164.9233085522
Kai Ming Head Start - Battery Center,37.798973,-122.400581,552770.9644699106,4183680.2253289693
City College of San Francisco Southeast Center,37.737148,-122.394096,553386.3179899936,4176824.4679588783
Saint Marys School,37.795944,-122.404907,552392.2528826201,4183341.7252350845
Rainbow Montessori Of San Francisco,37.743538,-122.480759,545746.4342904678,4177487.538308474
Sand Paths Academy,37.753468,-122.416717,551381.8752594223,4178622.4910593578
Synergy Elementary School,37.750885,-122.420326,551065.7279657263,4178333.9346823385
Lycee Francais De San Francisco,37.767971,-122.446968,548707.5073572116,4180215.4025849532
Clarendon Elementary School,37.753754,-122.456268,547897.5836211032,4178633.241573471
Lycee Francais De San Francisco,37.751988,-122.476829,546087.4388056404,4178426.9810680575
Katherine Delmar Burke School,37.784283,-122.493324,544614.9362881912,4182002.076695347
Marin Day School - San Francisco City Hall,37.779324,-122.418816,551179.1489989177,4181490.0406421777
"Mccoppin, Frank Mccoppin Elementary / Early Education",37.77631,-122.464477,547160.118575851,4181131.6339771934
Gateway High School / Kipp Sf Bay Academy,37.783264,-122.436691,549602.4277516323,4181917.549309174
Galileo High School,37.803791,-122.424149,550692.8008304295,4184201.7381852255
Kangaroos Preschool,37.731812,-122.441833,549183.6963401326,4176206.2952157552
Glide Family Youth And Childcare Center,37.78529,-122.411697,551801.8905841897,4182155.8846853278
Jefferson Early Education School,37.76236,-122.483162,545523.188889418,4179574.640186598
Noe Valley Nursery School,37.743469,-122.440552,549288.8450634126,4177500.295169184
Ucsf - University Child Care Center - Laurel Heights,37.786099,-122.448387,548570.6676594042,4182225.951075737
Montessori Childrens House Of The West Coast,37.786671,-122.459686,547575.3930871647,4182283.6051398725
Five Keys Charter,37.777107,-122.402229,552641.3880152276,4181253.2724968144
Little Sunshine Childcare,37.7239,-122.46096,547503.3337700542,4175318.597129774
Saint Pauls Littlest Angel Preparatory,37.74419,-122.427742,550416.9601753998,4177587.112187657
City College of San Francisco Mission Center,37.754791,-122.420616,551037.4973584386,4178767.142653401
Economic Opportunity Council Sf - Oscaryne Williams Center Of Hope,37.755798,-122.394974,553295.5800768661,4178893.1637137188
Alt School - Fort Mason,37.804562,-122.433907,549833.2681317744,4184282.033096505
"Sloat, Commodore Sloat Elementary School",37.731258,-122.470482,546659.5769878671,4176130.165625504
Ark Christian Preschool,37.73803,-122.500786,543985.2529870444,4176866.8358298135
Economic Opportunity Council Sf - Rainbow Preschool,37.796528,-122.407638,552151.4017064673,4183404.992856475
Laguna Golden Gate Child Care Center,37.780636,-122.42733,550428.5072002126,4181630.9810338006
Playmates Cooperative Nursery School,37.743015,-122.500076,544044.856922098,4177420.246685444
Miraloma Cooperative Nursery School,37.732193,-122.449142,548539.3994005511,4176244.7519306373
Jewish Community Center San Francisco - Helen Diller Family Preschool,37.787365,-122.44722,548672.5948689482,4182367.019766181
Saint Stephen School,37.730911,-122.477684,546025.1681081901,4176088.1017294643
Peters Place Nursery School,37.777092,-122.461357,547434.3795721164,4181219.9739590096
Wu Yee Child Development Center - Chinatown Little Sprouts,37.797012,-122.410713,551880.3385760312,4183456.981557445
"Milk, Harvey Milk Elementary School",37.758926,-122.436447,549640.181935286,4179217.3994062184
Balboa High School,37.721142,-122.441399,549229.0015995745,4175022.705488453
Urban School Of San Francisco,37.770832,-122.44635,548760.0585316316,4180533.149714016
Mission Neighborhood Centers - Stevenson,37.771469,-122.421883,550914.4530317243,4180616.8602508693
"Serra, Junipero Serra Elementary School",37.736912,-122.421486,550973.1203600616,4176783.0165397623
Kids By The Bay Preschool,37.779549,-122.412102,551770.2331044526,4181518.6996798706
Kinderhaus - German International Preschool,37.732529,-122.402496,552649.4563794398,4176307.239030884
Brandeis Hillel School Of San Francisco,37.713421,-122.475639,546216.2354359918,4174148.6283272854
La Scuola International School,37.774921,-122.430046,550193.2022151985,4180995.4449135475
Claire Lilienthal Alternative School - Scott Campus,37.803036,-122.442665,549063.3032005124,4184108.0906208833
Kai Ming Head Start - Richmond Center,37.781128,-122.493202,544627.5759893747,4181652.090608664
Mission Education Center Elementary School,37.742203,-122.431435,550092.9366673534,4177364.6744204173
Angelas Children Center,37.773998,-122.465179,547099.7641982067,4180874.766038691
"Peabody, George Peabody Elementary School",37.783855,-122.465027,547106.8946431929,4181968.468059835
Hillcrest Elementary School,37.728413,-122.418686,551225.6867358516,4175841.593796353
La Piccola Scuola Italiana Preschool,37.760681,-122.389198,553800.8450471029,4179438.2337577366
Parkside Preschool & Kindergarten,37.742615,-122.47625,546144.2643139587,4177387.3463067673
Rooftop (5-8 Mayeda Campus),37.757397,-122.444496,548932.192751102,4179043.5188012617
Alt School - Potrero Hill,37.765507,-122.396584,553146.809597295,4179969.4528260967
City College of San Francisco Ocean Campus,37.725716,-122.451134,548368.0835861013,4175525.109206688
Little School,37.785137,-122.444717,548894.4551131913,4182121.1304623294
Katherine Michiels School,37.749817,-122.42231,550891.6796789872,4178214.3605962843
Cross Cultural Family Center - Mary Lane Infant And Toddler Center,37.769699,-122.428474,550335.1821887143,4180416.913133556
Tule Elk Park Early Education School,37.799419,-122.434563,549778.971558948,4183711.0692768404
Kittredge School,37.785507,-122.484955,545351.1186479798,4182141.9043055577
Kellys Family Day Care,37.741787,-122.427292,550458.2376348175,4177320.7451357967
Serra Preschool,37.799297,-122.456116,547881.5897055562,4183686.2749465206
"Key, Francis Scott Key Elementary/Early Education",37.758099,-122.501999,543866.5278831694,4179092.8895670767
San Francisco Community Alternative School,37.726105,-122.432136,550042.0089137541,4175578.2515503797
Ulloa Elementary School,37.737316,-122.499397,544108.0608232425,4176788.272389528
San Francisco Montessori Academy,37.757992,-122.490379,544890.149547444,4179086.5293542766
Town School For Boys,37.792034,-122.440132,549293.6004443126,4182888.7558955927
City College of San Francisco Downtown Center,37.784565,-122.404724,552416.4022962654,4182079.3320705895
Little Tree Preschool,37.746403,-122.419037,551182.3688870065,4177837.3664522255
Marin Day School - Fremont St,37.789883,-122.39489,553278.5145519937,4182674.9200266916
Grace Lutheran Church - Grace Infant Care Center,37.740261,-122.490852,544859.1873744208,4177119.075628126
Childrens Day School,37.764256,-122.425201,550627.1533940155,4179814.7835232373
Lick-Wilmerding High School,37.722321,-122.448982,548559.9436942183,4175149.553996982
Epiphany Elementary School,37.715725,-122.434532,549837.817965772,4174425.331638321
Lisa Kampner Hebrew Academy,37.767643,-122.42762,550411.7916882266,4180189.2616591193
Montessori School Of The Bay Area,37.78159,-122.433311,549901.1830955225,4181733.6183611625
Compass Childrens Center,37.782429,-122.413719,551625.835806769,4181837.340070769
Cross Cultural Family Center - Turk Street Center,37.782799,-122.412865,551700.778955261,4181878.863165417
"Carver, Dr. George Washington Carver Elementary School",37.731667,-122.385338,554161.9871912332,4176221.3890869515
Saint Luke School (Sls Preschool),37.787209,-122.42234,550863.4182944705,4182362.95403841
Buen Dia Family School,37.761932,-122.423454,550782.6159746106,4179557.884840648
"Preschool, The",37.753262,-122.421791,550935.0398297776,4178596.8616193016
Garfield Elementary / Early Education,37.802036,-122.406692,552230.8094012961,4184016.6323983734
City College of San Francisco Evans Center,37.741859,-122.384682,554212.3595257343,4177352.558216715
Presidio Early Education School,37.79752,-122.461105,547443.509376992,4183486.5739753875
Saint John Of San Francisco Orthodox Academy,37.780327,-122.486336,545232.6738225193,4181566.519099778
Live Oak School,37.763557,-122.399467,552894.2712927357,4179751.4680023617
Saint James Catholic School,37.751137,-122.423592,550777.838701999,4178360.116601258
Discovery Center School,37.776836,-122.440605,549262.0418412794,4181202.2986097555
Fei Tian Academy Of The Arts California,37.770477,-122.453003,548174.3533870734,4180490.3155989405
San Francisco Adventist,37.721714,-122.451187,548366.0153140436,4175081.067331195
One Fifty Parker Ave School,37.782818,-122.454094,548070.2757476666,4181858.9774593464
Economic Opportunity Council Sf - Omi Childcare,37.714497,-122.465576,547102.4954577882,4174273.021407563
Calvary Presbyterian Church - Calvary Nursery School,37.792713,-122.435089,549737.1600003615,4182966.76142221
Alt School - Dogpatch 1,37.761177,-122.38813,553894.5579548557,4179493.8792192573
Alvarado Elementary School,37.753681,-122.438194,549489.7913050528,4178634.547412976
"Mclaren, John Mclaren Early Education School",37.713131,-122.423187,550839.4964269352,4174143.6299035605
Cathedral School For Boys,37.79229,-122.413414,551645.8298269686,4182931.5817425856
Bright Horizons - Pacific Gas And Electric,37.791672,-122.395721,553204.06343183,4182872.935794628
Sterne School,37.792057,-122.439354,549362.0847329504,4182891.7182055586
Congregation Emanu-El Preschool,37.787338,-122.459793,547565.5439873649,4182357.5538838883
City Arts And Tech High School,37.718784,-122.424667,550705.197313782,4174770.017387003
Saint Thomas More,37.712299,-122.473389,546415.2477012088,4174025.2574675055
Independence High School,37.763226,-122.463585,547246.9963614838,4179680.428006835
Cross Cultural Family Center - Richmond I And Ii,37.775101,-122.49028,544888.5273249157,4180984.79944876
Angelinas School Day Care,37.77309,-122.5084,543293.9508776107,4180753.139576029
Convent Of The Sacred Heart High School,37.794918,-122.434059,549826.3653912349,4183211.953608403
Marshall Elementary School,37.766289,-122.419022,551169.9913424716,4180043.704800388
Chinese American International School,37.775429,-122.422424,550864.0940080087,4181055.9248190117
Sacred Heart Cathedral Preparatory,37.783287,-122.423187,550791.5228139791,4181927.3499516724
Kzv Armenian School - Krouzian Zekarian Armenian School,37.713841,-122.478317,545979.9401244845,4174193.9083609055
San Francisco Friends School,37.768978,-122.422905,550826.1503373682,4180339.9301016647
Saint John Catholic School,37.734886,-122.43753,549560.8154388606,4176549.6198518085
San Francisco School,37.732781,-122.411697,551838.5212635233,4176330.0634921934
Cornerstone Academy,37.75742,-122.483665,545481.9088811012,4179026.3090811344
Room To Grow Preschool,37.73621,-122.424728,550687.9425171099,4176703.3702898207
Grace Cathederal Community Preschool,37.792183,-122.413597,551629.791951395,4182919.6090611285
Youth Chance High School,37.792519,-122.392021,553529.2238550574,4182969.022164988
Nihonmachi Little Friends - After School Program,37.786919,-122.428688,550304.6637898581,4182327.344584585
Presidio Preschool,37.782864,-122.460831,547477.0088956428,4181860.6394039863
Crayon Box Preschool,37.72329,-122.438774,549458.9140611185,4175262.405390421
Compass Clara House,37.773743,-122.423042,550810.823409956,4180868.5284995185
"Wallenberg, Raoul Wallenberg High School",37.780647,-122.445953,548788.5719333017,4181622.3226240734
Little Footprints Preschool,37.738415,-122.4907,544873.6939690869,4176914.3379885308
Hillwood Academic Day School,37.793324,-122.440117,549294.0640399863,4183031.8886496346
ABC Preschool,37.781139,-122.493042,544641.658732766,4181653.3874129327
Saint Thomas The Apostle Elementary School,37.775097,-122.499771,544052.6987164372,4180979.843043037
Fairmount Elementary School / Preschool,37.740433,-122.425011,550660.1288522173,4177171.7528183064
"Wu Yee Child Development Center - Omi (Ocean View,Merced Heights,Ingleside)",37.717464,-122.47197,546537.087878048,4174599.007453069
"Yu, Alice Fong Yu Alternative School",37.758965,-122.469681,546712.7413838618,4179204.61425616
Presidio Knolls School,37.77319,-122.413704,551633.5826099403,4180812.287367294
South Of Market Child Care - Judith Baker Child Development Center,37.776806,-122.411476,551827.274172231,4181214.712299665
Wah Mei School,37.76186,-122.477371,546033.57470336,4179521.9993659914
Stretch The Imagination Child Care Center,37.786095,-122.438888,549407.0836306777,4182230.483831509
C5 Childrens School - Sf City Building Center,37.781109,-122.418922,551168.5840158124,4181688.027251606
Saint Cecilia School,37.739872,-122.473602,546379.2757990158,4177084.3236678117
Mission Dolores Academy,37.764122,-122.428284,550355.6974544632,4179798.252438539
Marin Day School - Hills Plaza,37.789803,-122.389755,553730.7014584593,4182668.982546895
Alt School - Alamo Square,37.774788,-122.430206,550179.2015357581,4180980.6028173403
Jewish Community High School Of The Bay,37.781651,-122.436676,549604.8266266527,4181738.5960159553
South Of Market Child Care - Yerba Buena Gardens Child Development Center,37.783512,-122.40081,552761.7972053572,4181964.7033949904
Cow Hollow Kindergarten,37.799049,-122.455528,547933.5157622383,4183659.0608038832
"Roosevelt, Theodore Roosevelt Middle School",37.78228,-122.458351,547695.7644426347,4181797.1070433217
Pacific Primary - Orange Sun School,37.775284,-122.441605,549175.0061042769,4181029.5792468023
Gates And Bridges Preschool,37.758255,-122.467148,546936.3089710751,4179127.10828938
Downtown High School,37.761398,-122.403702,552522.7805668641,4179509.542917025
French American International School,37.775456,-122.421577,550938.6669754153,4181059.381409195
